,mean,confidence interval
NDCG@3,0.8356011146179738,"(0.8321294809602031, 0.8390727482757445)"
MAP@3,0.9652939926745233,"(0.9635156866149278, 0.9670722987341188)"
NDCG@5,0.844964910050261,"(0.8416426548895857, 0.8482871652109363)"
MAP@5,0.9446780524254637,"(0.9424358618984094, 0.9469202429525179)"
NDCG@10,0.8561171235992358,"(0.8528819517573164, 0.8593522954411551)"
MAP@10,0.9120029779811064,"(0.9090886021111673, 0.9149173538510456)"
