,mean,confidence interval
NDCG@3,0.8841183564655941,"(0.8805616861633431, 0.8876750267678452)"
MAP@3,0.9591120518744012,"(0.957065664683886, 0.9611584390649164)"
NDCG@5,0.8938905523074848,"(0.890715573667887, 0.8970655309470826)"
MAP@5,0.9383037244707222,"(0.9357929998704893, 0.9408144490709551)"
NDCG@10,0.9026570626612078,"(0.8997182401031538, 0.9055958852192618)"
MAP@10,0.9127729813574686,"(0.9100915447996073, 0.91545441791533)"
