NDCG@3,MAP@3,NDCG@5,MAP@5,NDCG@10,MAP@10
0.6844259378221673,0.9361390284757118,0.7083854832757146,0.8803106470739879,0.7314607011933496,0.8197769655125728
0.7078867249352868,0.9540229885057472,0.7285390938718992,0.9036015325670496,0.7466574453653722,0.8536648745519709
0.7157352360751325,0.9399598393574298,0.7395403914562761,0.8889634601043996,0.7594957207995752,0.8313553810182438
0.7270440303373906,0.9416072842438638,0.7424087999531555,0.9039848256834708,0.7609341782698289,0.8505131161236422
0.6916033403234563,0.9399418121363258,0.7162286149765047,0.8831226053639842,0.733276425098485,0.8315134835296124
0.6835943367575638,0.9503816793893124,0.7082965419952088,0.8918553213635175,0.7290238138555241,0.832985638699924
0.7067371469442195,0.9488124488124487,0.7298212090819872,0.8947608200455577,0.7519419171544806,0.831527652989917
0.7077797622344488,0.9404471544715444,0.7232710585354487,0.9052977571539051,0.7365947243356641,0.8668874172185428
0.7314166258768248,0.9495249406175772,0.7555906697174468,0.8935714285714279,0.7664591987112912,0.861090600093764
0.6987272614743265,0.9464433416046316,0.7227560584225251,0.8909785932721708,0.7416598407413801,0.8429482594182164
0.7176851985495943,0.9403044871794872,0.740242770242079,0.8902808849117569,0.7558825339928157,0.8472488590221147
0.7323035688494273,0.9448384554767528,0.7462331682112241,0.9132824283559572,0.7607215727430409,0.8696445566092239
0.7410011257146663,0.9445093457943924,0.7595636161067105,0.904893303899926,0.7773931848405656,0.8533820346320344
0.7003873589283243,0.9563591022443888,0.7176637048811967,0.9139215686274504,0.735867287128624,0.8529090420738886
0.6953699544735428,0.9534252297410192,0.7157141917605457,0.9047488940931564,0.7371276481518346,0.8388056835637477
0.7172504252062928,0.955190592051906,0.735662115942487,0.9098143910500888,0.749062644825781,0.8697278295376119
0.7114005377829077,0.947560975609756,0.7313494728296535,0.8998731608320647,0.7526205880084939,0.8404127737592931
0.7052919535454778,0.9398940505297472,0.7243726743499953,0.8963601532567048,0.7381516697440654,0.8539911643669814
0.7306862371258489,0.9542561654733488,0.7511319896909915,0.9080723340790452,0.7703337741494806,0.8520829199735448
0.7107178316203508,0.946341463414634,0.7270997687673626,0.9069797279958938,0.7516423113748042,0.8386278966579597
0.711454019133327,0.9448499594484993,0.7349582479461053,0.889226726726726,0.7482375402708881,0.8503415927398789
0.7268125635253454,0.9414093428345208,0.7429262144017391,0.9051417105593176,0.7621288565201126,0.8475915942897073
0.7131832787905327,0.9353413654618472,0.7260231240361654,0.9042821401077747,0.7425171650283764,0.850817648873804
0.7303633917161751,0.9445102685624012,0.7482521974321754,0.9027684563758386,0.7617372454261141,0.861191318707242
0.7164656248261084,0.9537712895377128,0.7429155578613372,0.8949043002734275,0.7546281223716612,0.8574756647673313
0.7174760932563385,0.9522653721682846,0.74311508086742,0.8920510912698406,0.7583189527696601,0.853460872343287
0.7236381104693975,0.9669505271695048,0.7462749579309005,0.9114747930775012,0.7623651031381741,0.8659283181357642
0.6559593437782666,0.9275173611111112,0.6779571914574163,0.8727510040160639,0.7009217388073309,0.80779316131739
0.7236167276041879,0.9449760765550236,0.7437650633084635,0.9013202247191008,0.7599636921535908,0.8534059028826466
0.684947221279887,0.940176322418136,0.7089122432684724,0.8810904872389788,0.7339801744516593,0.8135950031880267
0.7351988725049103,0.9560570071258908,0.7516576117779421,0.9169388138138136,0.7723029620754934,0.8560075231481481
0.7089292918507262,0.9491421568627448,0.7280130335128512,0.9080189889658706,0.7471134720987451,0.8485483583154888
0.6944830598757298,0.9451371571072318,0.7143405313606112,0.899584631360332,0.7296151423917048,0.8552356478567928
0.6969542574331214,0.9533333333333333,0.7224938950341588,0.8943422733077901,0.7429325988209654,0.8387628185602597
0.7123993603143483,0.9590499590499588,0.7315884618651479,0.9116743471582176,0.7510414045955847,0.8527667548500876
0.7113304936756992,0.9538398692810456,0.7299306327793017,0.9056704980842908,0.7480459775703917,0.8524175693167109
0.6816327283843122,0.9437394247038916,0.702519633849451,0.8928421329130546,0.7246184716586047,0.8334297299166578
0.7019454105394836,0.9429392446633824,0.7258849731733786,0.8880093647177926,0.7437675273123449,0.8359240965889904
0.6961052600825182,0.9516666666666664,0.7170223757717515,0.9014374514374508,0.7440273271859822,0.8276233172593929
0.7010963648140902,0.954187396351575,0.7152359826881387,0.92125890736342,0.7376125413338177,0.8522584541062799
0.7154832683018777,0.9647829647829648,0.7370702877183226,0.9126366641240778,0.7549789375390539,0.8589226360059687
0.7182278648725238,0.9476650563607084,0.7390508433795829,0.9018413775766712,0.7566948800386051,0.851473592615012
0.6926079616168968,0.948203842940685,0.717037812673611,0.889979471388247,0.7350384967086027,0.8404196235729714
0.7034440852886442,0.9428746928746926,0.7228508759346051,0.8967773937531996,0.7407075506138385,0.8484492954849322
0.71078202859077,0.943633414436334,0.7306624864752645,0.8990677321156769,0.7502087693335029,0.8422909100080712
0.6860218383057463,0.9424853064651552,0.7064035345978118,0.8943921568627449,0.7316397604346208,0.8260970055402602
0.732727626572729,0.9547619047619046,0.749480700234526,0.9131756756756751,0.7697531107720329,0.8569004449757582
0.7002094218414877,0.9463696369636964,0.7166195403932767,0.9087636932707353,0.7347184608182472,0.8572973231690338
0.731293148793987,0.9519841269841268,0.7498317762933947,0.90829596412556,0.7646700748454818,0.8655722373875243
0.713731743875462,0.9520325203252034,0.7362262518957204,0.9002267573696142,0.7509422154135403,0.8545227048706704
