,mean,confidence interval
NDCG@3,0.7093113011298376,"(0.7045167495084841, 0.7141058527511912)"
MAP@3,0.9477122790487654,"(0.9456142080320805, 0.9498103500654503)"
NDCG@5,0.7296578502797493,"(0.7251073577981537, 0.7342083427613448)"
MAP@5,0.9000923813610063,"(0.8971874709405983, 0.9029972917814144)"
NDCG@10,0.7480307090596636,"(0.7439301250796192, 0.752131293039708)"
MAP@10,0.8471123454029381,"(0.8431794637815719, 0.8510452270243043)"
